Site,UTM N,UTM E,2015 Start Date,2015 End Date,Rabbits 2013/2014,,,,,,,,,,,,,,,,Rabbits 2015,,,,,,,,,,,,,,,,,Cats 2013/2014,,,,,,,,,,,,,,,,Cats 2015,,,,,,,,,,,,,,,,year_2013,dist_cam_z,Total CatCaps_2013_14,CatIndividuals_2013_14,Total CatCaps_2015,CatIndividuals_2015,RabbitPresence_2013_14,HumanTrail,Rabbitat,Rabbitat_buff,HumanTrail,dist_rd_z,dist_dev_z,dist_cat2014_z,dist_cat2015_z,bin_2014cat,bin_2015cat,bin_20142015,DESCRIPTION,freshwater,salt_button,upland,hectares_z,LiDar_z
FS070,2729997.649,462084.1159,4/11/15,4/27/15,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,FS070,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,-1.43,2,2,2,2,1,0,1,0,0,-0.82,-1.13,-0.39,0.17,0,0,0,Freshwater Wetland,1,0,0,-0.03,-1.24
FS073,2730202.659,463137.3645,4/11/15,4/27/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,FS073,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.62,0,0,0,0,1,0,1,0,0,-0.85,-0.85,-1.57,-0.38,1,0,1,Freshwater Wetland,1,0,0,0.18,-0.77
FS074,2730251.816,463448.0974,4/29/15,5/14/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS074,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,-1.63,0,0,0,0,0,0,1,0,0,-0.58,-0.93,-1.15,-0.37,1,0,1,Freshwater Wetland,1,0,0,0.18,-0.44
FS075,2729917.528,463376.3502,4/11/15,4/27/15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,FS075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.49,0,0,0,0,1,0,1,0,0,-0.65,-0.95,-1.14,-0.82,1,0,1,Freshwater Wetland,1,0,0,0.18,-0.66
FS076,2729887.311,462654.9362,4/11/15,4/27/15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FS076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.51,0,0,0,0,0,0,1,0,0,-0.56,-0.76,-0.62,-0.41,0,0,0,Freshwater Wetland,1,0,0,-0.03,-0.67
Fs079,2729648.429,463354.7717,4/13/15,4/28/15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,.,FS079,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,-1.01,0,0,0,0,1,0,1,0,0,-0.73,-0.31,-1.52,-1.19,1,1,1,Freshwater Wetland,1,0,0,0.18,-1.23
Fs089,2730417.332,462895.4697,4/30/15,5/15/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,.,FS089,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,-0.6,0,0,0,0,1,0,1,0,0,-0.72,-0.01,-1.06,0.01,1,0,1,Freshwater Wetland,1,0,0,0.18,-1.03
Fs094,2731624.143,461981.2857,3/28/15,4/12/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS094,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0.37,0,0,0,0,0,0,0,0,0,-0.68,-1.01,0.07,-0.5,0,0,0,Pineland,0,0,1,1.84,2.33
Fs102,2729492.772,462901.7922,4/30/16,5/15/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS102,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.,1,-3.64,1,1,1,1,0,0,1,0,0,-0.51,-0.54,-0.8,-1.05,1,1,1,Freshwater Wetland,1,0,0,-0.03,-1.17
Fs109,2730070.476,462881.3056,4/30/15,5/15/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS109,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,-1.15,0,0,0,0,0,0,1,1,0,-0.7,-0.96,-1.14,-0.39,1,0,1,Pineland,0,0,1,-1.49,-0.58
FS112,2730592.846,463549.6892,4/29/15,5/14/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS112,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.,1,-3.64,2,2,2,2,0,0,0,0,0,-0.79,-0.85,-0.62,0.07,0,0,0,Pineland,0,0,1,-1.22,-0.07
Fs114,2734849.519,459554.9742,3/28/15,4/12/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS114,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.,0,-0.32,1,1,1,1,0,0,1,0,0,-0.54,-0.96,0.61,3.04,0,0,0,Buttonwood,0,1,0,-1.28,-0.42
Fs115,2734574.508,460081.369,3/28/15,4/12/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.,0,-1.43,3,1,3,1,0,0,1,0,0,0.15,-0.49,-0.23,2.33,0,0,0,Freshwater Wetland,1,0,0,-0.95,-0.47
